Meghan Trainor,"All About That Bass",2014,11[a],[65]
Tia Ray,"Be Apart",2018,10.9[a],[48]
Idina Menzel,"Let It Go",2013,10.9[a],[65]
Justin Bieber,"Sorry",2015,10.8[a],[51]
Lukas Graham,"7 Years",2015,10.4[a],[51]
Ed Sheeran and Justin Bieber,"I Don't Care",2019,10.3[a],[55]
Lady Gaga and Bradley Cooper,"Shallow",2018,10.2[a],[55]
The Chainsmokers featuring Daya,"Don't Let Me Down",2016,10.2[a],[51]
Lorde,"Royals",2013,10,[77]
Bruno Mars,"Grenade",2010,10.2,[69]
Mike Posner,"I Took a Pill in Ibiza",2015,10[a],[51]
Shakira featuring Freshlyground,"Waka Waka (This Time for Africa)",2010,10,[78]
Shakira featuring Wyclef Jean,"Hips Don't Lie",2006,10,[79]
Lady Gaga featuring Colby O'Donis,"Just Dance",2008,10,[80]
